album,artist,lyric,song,year
Infinite (1996),Eminem,My desire is like a scratch that needs to get itched huh,Never 2 Far,1996
Infinite (1996),Eminem,If you ever wanna be one see,313,1996
Infinite (1996),Eminem,"Eminem: Man what you know about a sweet MC, in the 313",313,1996
Infinite (1996),Eminem,Stay away from him he ain't no good!,Backstabber,1996
Infinite (1996),Eminem,The 5 Elemantz for life my man Thyme,Never 2 Far,1996
Infinite (1996),Eminem,I'm showing you the proper way to operate a mic,Open Mic,1996
Infinite (1996),Eminem,I make you think you're a best friend then,Backstabber,1996
Infinite (1996),Eminem,"I can't give you no money anyways, I heard you got some shit.",Maxine,1996
Infinite (1996),Eminem,Police voice:,Backstabber,1996
Infinite (1996),Eminem,"(Scratched in) I wanna know, I wanna know",Open Mic,1996
Infinite (1996),Eminem,I took his butcher knife and jabbed it into his spleen,Backstabber,1996
Infinite (1996),Eminem,Dealing with backstabber's there was one thing I learned,Backstabber,1996
Infinite (1996),Eminem,"Hit a bitch snake from the back, I make you think you're a best friend then",Backstabber,1996
Infinite (1996),Eminem,"I've been taken advantage of, damaged and scuffed",It's OK,1996
Infinite (1996),Eminem,"Looking provocative, she'll let you knock it if",Maxine,1996
Infinite (1996),Eminem,I saw my life flash in front of my eyes,Backstabber,1996
Infinite (1996),Eminem,"You living trife, got three kids at home and club hopping every night",Maxine,1996
Infinite (1996),Eminem,"I'm on a quest to seize all, my own label to call",It's OK,1996
Infinite (1996),Eminem,So I stepped on it and then asked my homies,Maxine,1996
Infinite (1996),Eminem,Chorus: It's a broke day but everything is ok (It's ok),It's OK,1996
Infinite (1996),Eminem,She said she just broke up with her nigga and shit,Maxine,1996
Infinite (1996),Eminem,"Give me your address I'll be through and you'll find out""",Maxine,1996
Infinite (1996),Eminem,You press the issue and get undressed to kiss you,Maxine,1996
Infinite (1996),Eminem,"Everyday in the streets, scrambling and paying for cheap",It's OK,1996
Infinite (1996),Eminem,"I met this girl last week, she was a freak, and she liked me",Maxine,1996
Infinite (1996),Eminem,Before I hit it she said,Maxine,1996
Infinite (1996),Eminem,And make them do shit illegal,It's OK,1996
Infinite (1996),Eminem,Denaun: You thinking about sucking my dick?,Maxine,1996
Infinite (1996),Eminem,Maxine: (laughing) Who told you that bullshit?,Maxine,1996
Infinite (1996),Eminem,Got to the crib she let me in,Maxine,1996
Infinite (1996),Eminem,To selling dope with the rest,It's OK,1996
Infinite (1996),Eminem,Maxine: Yeah for a small price,Maxine,1996
Infinite (1996),Eminem,These transactions explain a man's actions,It's OK,1996
Infinite (1996),Eminem,I ain't fucking around with no 3rd nigga,Maxine,1996
Infinite (1996),Eminem,My little brother's trying to learn his mathematics,It's OK,1996
Infinite (1996),Eminem,I'm reminiscing on your tenderness and the snuggling and teasing,Searchin',1996
Infinite (1996),Eminem,"Denaun: Fuck that, I ain't fucking with you",Maxine,1996
Infinite (1996),Eminem,And interrupt when I'm speaking,Searchin',1996
