album,artist,lyric,song,year
2Pacalypse Now (1991),tupac,"Hit that shit, that's the shit!",Young Black Male,1991
2Pacalypse Now (1991),tupac,"Mama can't help him, but it hurts to hear him callin'",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,(2Pac) Yeah... ya don't stop!,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"Leave me the fuck alone, you gets none of this",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Yeah Tu', tell them motherfuckers, word up",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Do whatever it takes to resist the temptation,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,"When I'm rollin' with my crew, watch what crooked niggaz, do!",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"I ain't the type to fetch ya, ask Stretch, he's my witness",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,And though I been around clowning with the Underground,If My Homie Calls,1991
2Pacalypse Now (1991),tupac,Compared to this shit...,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,(Eazy) Criminal behaviour... criminal... criminal behaviour,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Long as I got a clip I got some shit to hit 'em with,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"I rip shit, came equipped with a bigger crew",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,The nigga killer I get iller when the shit gets thick,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Now I could be a crooked nigga too,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,They act like they never seen a muthafucka wearing black,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Crooked ass niggaz come in all shapes and sizes,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"Ten o'clock, is a motherfuckin gank move",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"I'm funky, that's word to the father",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"(Cube) Suddenly I see, some niggaz that I don't like",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,*Machine gun fires*,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"(Ice Cube) Suddenly I see, some niggaz that I don't like",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Criminal behaviour...,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,I'm tellin' these niggaz that they ain't got...,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,I'm sick of the bullshit,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"I took a cop, just in case things got tricky",Soulja's Story,1991
2Pacalypse Now (1991),tupac,A nosey ass cop and a nigga that robbed from me,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"They way they see it, we was meant to be keep down",I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,With these dope ass lyrics,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,But where?,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Crim-criminal behaviour,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Criminal beha... crima-crima-crima,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,(Dr. Dre) Got him!,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,(2Pac),Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,*Machine gun fires*,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"Rebel, rebel, rebel",Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,"(Ice Cube) Suddenly I see, some niggaz that I don't like",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Sit back and get fat off the fat cat,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"(Say it one more time, baby)",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,They just can't stand the reign,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,Brenda's,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Just 'cause you're in the ghetto doesn't mean you can't grow,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Baby,Brenda's Got a Baby,1991
